,Open,High,Low,Close,Adj Close,Volume
2015-04-20,106.54,107.79,106.5,107.6,99.4994323437615,28945909.0
2015-04-21,108.22,108.41,107.93,108.06,99.9248016641903,22759772.0
2015-04-22,108.34,108.83,107.64,108.65,100.470384053436,21429190.0
2015-04-23,108.28,109.55,108.26,109.06,100.849517578166,29473221.0
2015-04-24,110.21,110.69,110.03,110.54,102.218097130849,32508127.0
2015-04-27,110.95,111.16,110.02,110.26,101.959176674936,31121321.0
2015-04-28,110.34,110.55,109.11,110.04,101.755739173862,36849221.0
2015-04-29,109.43,110.07,108.75,109.35,101.117685193219,34043905.0
2015-04-30,108.73,109.17,107.06,107.63,99.5271738211808,44080546.0
2015-05-01,108.05,109.12,108.03,109.05,100.840270419026,32874307.0
2015-05-04,109.4,109.91,109.17,109.23,101.006719283542,23507259.0
2015-05-05,108.8,109.0,107.4,107.45,99.3607249566652,47843265.0
2015-05-06,107.64,107.95,105.995,106.71,98.6764351803234,42687150.0
2015-05-07,106.68,107.65,106.6,107.35,99.2682533652677,29335806.0
2015-05-08,108.46,108.92,108.3,108.69,100.507372689995,33023337.0
2015-05-11,108.76,108.98,108.19,108.27,100.118992006125,19679255.0
2015-05-12,107.63,108.33,106.8,107.78,99.6658812082771,33665017.0
2015-05-13,108.25,108.81,107.84,108.0,99.8693187093517,20738434.0
2015-05-14,108.88,109.67,108.48,109.58,101.330369853433,23904233.0
2015-05-15,109.86,110.01,109.31,109.58,101.330369853433,23937442.0
2015-05-18,109.4,110.28,109.32,110.06,101.774233492141,17631135.0
2015-05-19,110.18,110.35,109.76,109.94,101.663267582464,14212896.0
2015-05-20,110.02,110.67,109.425,110.01,101.727997696442,21131892.0
2015-05-21,109.82,110.73,109.66,110.58,102.255085767408,16771801.0
2015-05-22,110.45,110.87,110.38,110.47,102.153367016871,13543774.0
2015-05-26,110.23,110.38,108.76,109.2,100.978977806122,25488437.0
2015-05-27,109.53,111.08,109.29,110.96,102.606477814719,30572695.0
2015-05-28,110.75,111.01,110.37,110.71,102.375298836225,17302408.0
2015-05-29,110.64,110.79,109.79,110.05,101.764986333001,30382987.0
2015-06-01,110.64,110.72,109.52,110.42,102.107131221172,24570186.0
2015-06-02,110.01,110.61,109.47,110.07,101.783480651281,19449634.0
2015-06-03,110.57,110.81,110.13,110.4,102.088636902893,20507208.0
2015-06-04,109.78,110.48,109.21,109.56,101.311875535153,31374588.0
2015-06-05,109.43,109.69,108.63,109.3,101.07144939752,22641732.0
2015-06-08,109.25,109.33,107.97,108.19,100.045014733007,24549204.0
2015-06-09,107.93,108.4,107.2,108.01,99.8785658684915,27554599.0
2015-06-10,108.38,109.81,108.26,109.49,101.247145421175,30297862.0
2015-06-11,109.86,110.15,109.46,109.65,101.395099967411,17593463.0
2015-06-12,109.07,109.3,108.6,108.75,100.562855644833,27201768.0
2015-06-15,107.94,108.38,107.31,108.21,100.063509051287,31238798.0
2015-06-16,108.1,108.9799,108.05,108.8,100.609091440532,16456867.0
2015-06-17,108.98,109.45,108.43,109.1,100.886506214725,23296738.0
2015-06-18,109.5,110.88,109.44,110.69,102.356804517946,43032384.0
2015-06-19,110.49,110.575,109.81,109.89,101.852057583461,27877574.0
2015-06-22,110.7,111.03,110.45,110.7,102.602809850661,19120898.0
2015-06-23,110.82,110.89,110.33,110.79,102.686226769239,18127916.0
